Sr. No,Course Number,Course Name,L-T-P-C,Faculty Name,Courses Slot,Lab Courses Slot
58,CY-247,Introduction to Molecular Thermodynamics,3-0-0-3,Aniruddha Chakraborty,A,
59,CY-304,Fundamental Analytical Chemistry,3-0-0-3,Venkata Krishnan,D,
60,CY-401,Introduction to Quantum Chemistry & Molecular Spectroscopy,3-0-0-3,Chayan Kanti Nandi,C,
61,CY-501P,Organic Chemistry Laboratory,4-0-0-4,Subrata Ghosh,,"L1, L2"
62,CY-502,Photochemistry and Pericyclic Reactions,3-1-0-4,Amit Balkrishna Pawar,B,
63,CY-504,Heterocyclic Chemistry,2-0-0-2,Abhishek Dewanji,C,
64,CY-507,Chemistry of Main Group Elements,3-1-0-4,Abhimanew Dhir,C,
65,CY-511,Group Theory and Spectroscopy,3-0-0-3,Bhaskar Mondal,D,
66,CY-513,"Reaction Dynamics, Kinetics and Catalysis",3-0-0-3,Moupriya Das,D,
67,CY-524,Basic and Applied Electrochemistry,3-0-0-3,Aditi Halder,E,
68,CY-555,Introduction to Polymer Science & Technology,3-0-0-3,Garima Agrawal,A,
69,CY-599P,Post Graduate Project - 2 (Chem),9,Abhishek Dewanji,NS,
70,CY-600R,Research Methodology for Chemistry,1-0-0-1,Venkata Krishnan,FS,
71,CY-644,Bioinorganic Chemistry,3-0-0-3,Pradeep C. Parameswaran,F,
72,CY-670,"Fluorescence spectroscopy, microscopy and applications",3-0-0-3,Narayan Sinha,G,
73,DP-399_CE,Semester Internship,0-0-18-9,Ashutosh (FA),NS,
74,DP-402P,Major Technical Project,0-0-8-5,Respective FAs,NS,
75,DP-502P,Design Practicum II (CHEMISTRY),0-0-4-2,Garima Agrawal,NS,
76,DS- 413,Introduction to Statistical Learning,3-1-0-4,Manoj Thakur,A,
77,DS-302,Computing systems for data processing,2-0-2-3,"Padmanabhan
Rajan",B,L3
78,DS-313,Statistical Foundations of Data Science,3-1-0-4,Siddhartha Sarma,G,
79,DS-404,Information Security and Privacy,3-0-0-3,Dr. Awaneesh Kumar Yadav,H,
80,DS-411,Optimization for Data Science,3-1-0-4,Dr. Parimala,F,
81,DS-412,Matrix Computations for Data Science,3-0-2-4,Adarsh Patel,C,L1
82,EE-201,Electromechanics,2.5-0.5-0-3,Moumita Das,D,
83,EE-201P,Electromechanics Lab,0-0-2-1,Pratim Kundu,,L3
84,EE-211,Analog Circuit Design,2-0-2-3,Abhisek Sharma (New Faculty Member),E,L1
85,EE-304,Communication Systems,3-0-2-4,Satyajit Thakor,F,
86,EE-309,Power Electronics,2.5-0.5-0-3,Venkata Ratnam,G,
87,EE-309P,Power Electronics Lab,0-0-2-1,Venkata Ratnam,,L1
88,EE-326,Computer Organization and processor architecture,3-0-2-4,Bikram Paul,A,L3
89,EE-515,Nonlinear Systems,4-0-0-4,Tushar Jain,G,
90,EE-523,Digital VLSI Architecture Design,3-0-2-4,Rahul Shrestha,F,L2
91,EE-529,Embedded Systems,3-0-2-4,Shubhajit Roy Chowdhury,E,L1
92,EE-604,Advanced Electrical Drives,2.5-0.5-0-3,Himanshu Mishra,B,
93,EE-604P,Practicum on Advanced Electrical Drives,0-0-2-1,Himanshu Mishra,,L2
94,EE-611,VLSI Technology,3-0-0-3,Satinder Kumar Sharma,A,
95,EE-611P,VLSI Fabrication Practicum,0-0-3-2,Satinder Kumar Sharma,,L4
96,EE-618,Industrial process control,2.5-0.5-0-3,Kaushik Halder,H,
97,EE-623P,Practicum on Digital Control of Power Electronics and Drives,1-0-4-3,Amit Kumar Singha,,L4
98,EE-XXX,Electromagnetics & Wave Propagation(EE-202),3-0-0-3,Gopi Shrikanth Reddy,C,
99,EE-XXX,Medical Imaging & Applications,3-0-2-4,Sneha Singh,C,
100,EE-500,Network Control System,3-0-0-3,"Narendra Kumar
Dhar",C,
101,EE-516,Biomedical Systems,2.5-0.5-1-4,"Shubhajit Roy
Chowdhury",B,L2
102,EE-541,"Tensors: Techniques, Algorithms, Applications for Signal Processing, and Machine Learning",4,,D,L4
103,EE-556,Nuclear Reactor Control,1-0-0-1,,F,
104,EE-560,Reconfigurable Computing,3-0-2-4,Srinivasu Bodapati,D,L5
105,EE-574,Biomedical Signal & Image Analysis,3-0-0-3,"Dr. Sneha Singh,Dr. Siddhartha Sarma",H,
106,EE-582,Nonlinear Analysis and Control of Power Electronic Converters,3-0-0-3,Amit Kumar Singha,H,
107,EE-584,Power System Protection,3-0-0-3,Pratim Kundu,D,
108,EE-608,Digital Image Processing,3-0-2-4,Sneha Singh,E,L3
109,EE-621,Radiating Systems,3-1-0-4,Anirban Sarkar,A,
110,EE-625P,M. Tech. Project (PED),0-0-32-16,Respective FAs,NS,
111,EE-630,HVDC Transmission and Flexible AC Transmission Systems,3-0-0-3,Priyatosh Mahish,G,
112,EE-XXX,Vision and Learning Based Control,X-X-X-3,"Radhe Shyam
Sharma",C,
113,EE-XXXP,Reverse Engineering,0-0-2-1,Bikram Paul,,L2
114,EN-511,Computational Methods in Material Science,1-0-6-4,Sudhir Pandey,B,
115,EN-511,Computational Methods in Material Science,3-0-1-4,Sudhir Pandey,B,
116,EP-401P,Engineering of Instrumentation,1-0-5-4,C.S. Yadav,,L5
117,EP-403,Physics of Atoms and Molecules,3-0-0-3,Rahul Kumar Kothari,F,
118,EP-502,Informatics for Materials Design,2-0-2-3,Arti Kashyap,G,
119,EP-XXX,Reverse Engineering,0-0-2-1,"Dr. Bindu
Radhamany",NS,
120,GE-502,Consciousness and professional ethics,2-1-0-3,Atul Dhar,FS,
121,HC-600,Research Methodology,1-0-0-1,,FS,
122,HS-202,Principles of Economics,3-0-0-3,Ramna Devi,H,
123,HS-204,Introduction to Political Sciences,3-0-0-3,Aparna Malviya,E,
124,HS-255,India since Independence,3-0-0-3,Aparna Malviya,G,
125,HS-256,Introduction to Spanish Language,3-0-0-3,Juan Luis,F,
126,HS-302,Introduction to Drama in English,3-0-0-3,Neethi Vadakkan,C,
127,HS-304,Organizational Management,,,FS,
128,HS-342,German-I,3-0-0-3,Neha Kaushik,G,
129,HS-351,Popular Fiction,3-0-0-3,Suman,G,
130,HS-358,Science Writing,3-0-0-3,Aruna Bommareddi,E,
131,HS-481,International Economics,3-0-0-3,Ramna Devi,A,
132,HS-504,Personal Finance and Portfolio Management,3-0-0-3,Satvasheel Powar,G,
133,HS-506,Population Studies: Theory and Basic Analysis,3-0-0-3,Mayanka Ambade,A,
134,HS-530,"Planning, Welfare and Development",3-0-0-3,Saumya Malviya,B,
135,HS-533,Urban Development,3-0-0-3,"Surya Prakash
Upadhyay",C,
136,HS-537,"Post-Reform India: Polity, Society and Economy",3-0-0-3,Surya Prakash Upadhyay,D,
137,HS-541,Technical Communication,1-0-0-1,"Aruna
Bommareddi",A,
138,HS-542,"Ethnicity, State, and Nationalism in India",3-0-0-3,Nilamber Chhetri,E,
139,HS-546,Readings in World Literature,3-0-0-3,"Thirthankar
Chakraborty",G,
140,HS-548,Science and Society,3-0-0-3,Saumya Malviya,F,
141,HS-550,Statistical Methods,3-0-2-4,"Shyamashree Das
Gupta",D,L2
142,HS-551P,Development Studies Practicum I,0-0-8-4,Mayanka Ambade,,L1
143,HS-554P,Post Graduate Project,0-0-33-22,Neethi Vadakkan,,L2
144,HS-591,"Special topics: Selected Topics in Research
Writing",1-0-0-1,Rajeshwari Dutt,FS,
145,HS-631,Historical Theory and Methodology,3-0-0-3,"Manu V
Devadevan",B,
146,HS-632,South Indian Epigraphy,3-0-0-3,"Manu V
Devadevan",C,
147,HS-633,Manuscriptology,3-0-0-3,"Manu V
Devadevan",F,
148,HS-XXX,World Cinema I,3-0-0-3,Juan Luis,D,
149,IC-161P,Applied Electronics Lab,0-0-3-2,"Srinivasu Bodapati, Anirban Sarkar, Robin Khosla (Coordinator), Shubhajit Roy Chowdhury, Rahul Shrestha",,
150,IC-010_CE,Internship,2,Ashutosh (FA),NS,
151,IC-102P,Foundations of design practicum,3-0-2-4,,G,
152,IC-114,Linera Algebra,2-0-0-2,Nitu Kumari,A,
153,IC-115,ODE and Integral Transform,2-0-0-2,Muslim Malik,B,
154,IC-121,Mechanics of Particles and Waves,2.5-0.5-0-3,Krishna Mohan Parattu,C,
155,IC-140,Engineering Graphics,2-0-3-4,"Deepak Sachan, Anil Kishan, Rajesh Ghosh",F,
156,IC-161,Applied Electronics,3-0-0-3,Dr. Anirban Sarkar and Dr. Bikram Paul.,E,
157,IC-181,Introduction to Consciousness and Holistic Wellbeing,2-0-2-3,Venkatesh Hanumant Rao Chembrolu,F,
158,IC-201P,Design Practicum,0-0-6-3,"Gajendra, Sarthak",NS,
159,IC-222P,Physics Practicum/Practicals,0-0-3-2,"Kaustav
Mukherjee",,L1-L5
160,IC-230,Environmental Science,3-0-0-3,Harshad,A,
161,IC-240,Mechanics of Rigid Bodies,1.5-1.5-0-3,Sandip,C,
162,IC-241,Materials Science for Engineers,3-0-0-3,Rahul Vaish,C,
163,IC-252,Probability and Statistics,3-0-2-4,Tanmay Kayal,D,
164,IC-253,Programming & Data Structure,3,Dr. Dinesh,C,
165,IK-515,Philosophy of Science,3,"Prof. Partha Ghosh, Prof. Aniruddha Chakraborty",F,
166,IK-503,Cognitive Psychology and Indian Thought System,3-0-0-3,Varun Dutt,A,
167,IK-505,Bhagwat Samkhya,3-0-0-3,,F,
